"Word","Length","Log_Freq_HAL"
"accompaniment","13","6.57"
"accompany","9","7.67"
"acoustic","8","8.59"
"acoustics","9","7.12"
"accompanying","12","8.00"
"accomplish","10","8.96"
"accomplished","12","8.85"
"accomplishes","12","6.38"
"accomplishing","13","6.56"
"accomplishment","14","7.17"
"accomplishments","15","7.60"
"accord","6","8.17"
"accordance","10","8.49"
"accorded","8","6.33"
"according","9","11.08"
"accordingly","11","8.54"
"accordion","9","6.38"
"accords","7","6.88"
"account","7","11.02"
"accountable","11","7.76"
"accountant","10","7.33"
"accountability","14","7.30"
"accountants","11","7.32"
"accounted","9","7.31"
"accounting","10","9.66"
"accounts","8","9.80"
"accreditation","13","6.33"
"accredited","10","6.96"
"accrue","6","6.42"
"accumulate","10","7.24"
"aches","5","6.04"
"accumulated","11","7.67"
"accumulating","12","6.32"
"achieve","7","9.65"
"achieved","8","9.02"
"accumulation","12","7.10"
"accuracy","8","9.26"
"accurate","8","9.98"
"accurately","10","8.59"
"accusation","10","7.69"
"accusations","11","8.15"
"accuse","6","8.24"
"accused","7","9.12"
"accuses","7","6.70"
"accusing","8","7.74"
"acolyte","7","6.10"
"acorn","5","9.02"
"accustomed","10","7.43"
"ace","3","8.85"
"aces","4","7.52"
"acetate","7","6.30"
"acetone","7","6.05"
"ache","4","6.74"
"achievement","11","8.28"
"achievements","12","7.64"
"achieves","8","6.64"
"achieving","9","8.06"
"Achilles","8","6.53"
"aching","6","7.00"
"acid","4","9.52"
"acidic","6","6.70"
"acids","5","7.75"
"acknowledges","12","6.97"
"acme","4","6.81"
"acne","4","6.28"
"acknowledge","11","8.82"
"acknowledged","12","8.28"
"acknowledgement","15","7.51"
"acknowledging","13","7.10"
"acknowledgment","14","6.85"
"acknowledgments","15","6.01"
"acquaintance","12","7.15"
"acquainted","10","6.93"
"acquire","7","8.78"
"acquired","8","8.76"
"acquires","8","6.13"
"acquiring","9","7.58"
"acrylic","7","6.74"
"act","3","11.19"
"acquisition","11","8.52"
"acquisitions","12","7.00"
"acquitted","9","6.41"
"acre","4","7.35"
"acres","5","8.28"
"acrobat","7","7.80"
"acronym","7","7.58"
"across","6","11.04"
"acted","5","8.50"
"acting","6","9.68"
"action","6","11.26"
"actions","7","10.30"
"activate","8","8.16"
"activated","9","8.09"
"activating","10","6.48"
"activation","10","7.56"
"active","6","10.48"
"actively","8","8.87"
"activism","8","7.35"
"activist","8","8.17"
"activities","10","10.40"
"activity","8","10.18"
"actor","5","9.26"
"actors","6","8.89"
"actress","7","8.52"
"actresses","9","7.42"
"acts","4","9.87"
"actual","6","10.62"
"actuality","9","6.86"
"actually","8","12.19"
"acupuncture","11","6.26"
"acute","5","7.79"
"ad","2","10.67"
"Ada","3","9.64"
"adage","5","6.22"
"Adam","4","9.88"
"adamant","7","6.44"
"zoology","7","6.56"
"zoom","4","8.50"
"zooming","7","6.26"
"Zurich","6","7.48"
"won","3","10.22"
"wonder","6","10.86"
"wondered","8","9.12"
"wonderful","9","10.37"
"wonderfully","11","7.73"
"wondering","9","10.64"
"wonderland","10","6.87"
"wonders","7","8.51"
"wondrous","8","6.35"
"wont","4","8.60"
"won't","5","11.63"
"woo","3","7.59"
"wood","4","10.09"
"woodcock","8","6.24"
"wooded","6","6.14"
"wooden","6","9.01"
"woodland","8","6.83"
"Woodrow","7","6.07"
"woods","5","9.14"
"Woodward","8","7.22"
"woodwork","8","6.14"
"woody","5","8.03"
"woodworking","11","6.77"
"woof","4","6.86"
"wool","4","7.63"
"woolly","6","6.10"
"Worcester","9","7.43"
"word","4","11.84"
"worded","6","6.95"
"wording","7","8.12"
"words","5","11.51"
"wore","4","8.63"
"work","4","13.02"
"workable","8","7.43"
"workbench","9","7.94"
"workbook","8","6.32"
"worked","6","11.00"
"worker","6","8.86"
"workers","7","9.84"
"worker's","8","6.18"
"working","7","11.81"
"workings","8","7.30"
"workman","7","6.34"
"workout","7","7.86"
"workouts","8","6.53"
"works","5","11.84"
"worksheet","9","6.04"
"workshop","8","9.64"
"workshops","9","8.59"
"world","5","12.60"
"worldly","7","7.03"
"worlds","6","9.32"
"world's","7","9.45"
"worldwide","9","9.83"
"worm","4","8.32"
"wormhole","8","7.60"
"worms","5","8.58"
"wormwood","8","7.08"
"worn","4","9.02"
"worried","7","9.30"
"worries","7","7.82"
"worry","5","10.21"
"worrying","8","8.04"
"worse","5","10.46"
"worship","7","9.18"
"worshiping","10","6.23"
"worshipped","10","6.87"
"worshippers","11","6.40"
"worshipping","11","6.86"
"worst","5","10.08"
"wort","4","7.39"
"worth","5","11.31"
"worthless","9","8.62"
"worthwhile","10","8.62"
"worthy","6","8.78"
"would","5","14.06"
"wouldn't","8","11.38"
"wound","5","8.72"
"wounded","7","8.26"
"wounds","6","7.92"
"woven","5","6.78"
"wow","3","9.57"
"wraith","6","8.10"
"wrangler","8","6.67"
"wrap","4","8.70"
"wrapped","7","8.72"
"wrapper","7","7.47"
"wrappers","8","6.70"
"wrapping","8","7.43"
"wraps","5","7.47"
"wrath","5","8.64"
"wreak","5","6.12"
"wreck","5","7.68"
"wreckage","8","6.11"
"wrecked","7","6.69"
"wrecking","8","6.01"
"wren","4","6.54"
"wrench","6","7.24"
"wrestle","7","6.86"
"wrestler","8","7.04"
"wrestling","9","8.58"
"wretched","8","8.18"
"wright","6","9.02"
"wrinkled","8","6.33"
"wrinkles","8","6.37"
"wrist","5","8.38"
"wrists","6","7.72"
"writ","4","7.15"
"write","5","11.80"
"writer","6","10.04"
"writers","7","9.88"
"writer's","8","7.60"
"writes","6","13.25"
"writhing","8","6.71"
"writing","7","11.20"
"writings","8","8.68"
"written","7","11.55"
"wrong","5","11.84"
"wrongful","8","6.33"
"wrongdoing","10","6.54"
"wrongly","7","7.25"
"wrongs","6","7.17"
"wrote","5","13.84"
"wrought","7","6.30"
"Wyoming","7","7.59"
"Xavier","6","8.00"
"xerox","5","7.99"
"yacht","5","6.91"
"yahoo","5","7.50"
"yak","3","6.64"
"Yale","4","8.33"
"yam","3","6.36"
"yank","4","7.35"
"yanked","6","6.80"
"Yankee","6","7.44"
"Yankees","7","7.16"
"yanks","5","6.93"
"yap","3","6.46"
"yard","4","8.91"
"yards","5","8.64"
"yarn","4","8.05"
"yawn","4","7.20"
"ye","2","8.89"
"yea","3","8.35"
"yeah","4","10.82"
"year","4","12.42"
"yearbook","8","6.78"
"yearly","6","7.95"
"yearning","8","6.34"
"years","5","12.76"
"year's","6","9.02"
"yeast","5","8.84"
"yell","4","8.11"
"yelled","6","7.65"
"yelling","7","7.98"
"yellow","6","9.87"
"Yemen","5","6.45"
"yen","3","8.21"
"yes","3","12.19"
"yesterday","9","9.97"
"yesterday's","11","7.43"
"yet","3","11.98"
"yeti","4","7.93"
"Yiddish","7","6.64"
"yield","5","8.73"
"yielded","7","6.82"
"yielding","8","6.83"
"yields","6","7.90"
"yin","3","7.11"
"yip","3","6.57"
"yoga","4","7.59"
"yogurt","6","7.15"
"yoke","4","6.90"
"York","4","11.29"
"York's","6","6.26"
"Yorkshire","9","7.24"
"Yorktown","8","6.28"
"Yosemite","8","6.42"
"you","3","15.43"
"you'd","5","10.62"
"you'll","6","11.39"
"young","5","11.11"
"younger","7","9.28"
"youngest","8","7.34"
"young's","7","6.11"
"youngster","9","6.23"
"youngsters","10","6.95"
"your","4","14.35"
"you're","6","12.33"
"yours","5","10.39"
"yourself","8","11.34"
"yourselves","10","8.16"
"youth","5","9.55"
"youthful","8","6.72"
"youths","6","6.77"
"you've","6","11.14"
"Yugoslav","8","8.13"
"Yugoslavia","10","8.84"
"Zaire","5","6.33"
"zap","3","8.13"
"zeal","4","6.55"
"Zealand","7","9.54"
"zealot","6","7.16"
"zebra","5","6.82"
"Zen","3","7.97"
"zenith","6","7.67"
"zephyr","6","7.62"
"zeppelin","8","7.33"
"zero","4","9.97"
"zeros","5","6.80"
"Zimbabwe","8","7.37"
"zinc","4","7.48"
"Zion","4","6.84"
"zip","3","9.72"
"zipped","6","7.30"
"zipper","6","7.13"
"zippy","5","6.31"
"zodiac","6","7.00"
"zombie","6","8.40"
"zombies","7","7.86"
"zone","4","9.76"
"zones","5","8.13"
"zoning","6","6.71"
"zoo","3","8.37"
"where'd","7","6.05"
"wherein","7","7.68"
"where's","7","8.39"
"wherever","8","8.78"
"whereupon","9","6.29"
"whether","7","11.63"
"which","5","13.80"
"whichever","9","8.10"
"while","5","12.56"
"whilst","6","8.41"
"whim","4","7.39"
"whimper","7","6.19"
"whimpering","10","6.07"
"whims","5","6.64"
"whine","5","8.23"
"whined","6","6.29"
"whining","7","8.57"
"whip","4","8.51"
"whipped","7","7.65"
"whipping","8","7.38"
"whippoorwill","12","7.22"
"whips","5","7.04"
"whirling","8","7.93"
"whirlpool","9","6.08"
"whirlwind","9","6.39"
"whiskers","8","6.08"
"whiskey","7","7.22"
"whisky","6","6.43"
"whisper","7","7.47"
"whispered","9","7.93"
"whispering","10","6.85"
"whispers","8","7.14"
"whistle","7","7.89"
"whistling","9","6.62"
"white","5","11.92"
"whitehead","9","6.30"
"whitening","9","7.61"
"whites","6","8.85"
"white's","7","6.52"
"Whitman","7","7.33"
"Whitney","7","7.51"
"whittle","7","6.15"
"whiz","4","6.76"
"who","3","13.74"
"whoa","4","7.81"
"who'd","5","7.79"
"whoever","7","9.31"
"whole","5","11.70"
"wholeheartedly","14","7.32"
"wholesale","9","8.42"
"wholesalers","11","6.32"
"wholesome","9","6.35"
"who'll","6","6.99"
"wholly","6","8.09"
"whom","4","10.25"
"whomever","8","7.38"
"whopping","8","6.62"
"whore","5","7.97"
"whores","6","6.55"
"who's","5","10.06"
"whose","5","10.61"
"who've","6","7.95"
"why","3","12.80"
"whosoever","9","6.34"
"Wichita","7","7.12"
"wick","4","6.33"
"wicked","6","8.35"
"wicket","6","7.00"
"wickets","7","6.78"
"wide","4","11.06"
"widely","6","9.50"
"widen","5","6.44"
"widened","7","6.41"
"wider","5","8.68"
"widespread","10","8.63"
"widest","6","6.77"
"widow","5","7.54"
"widows","6","6.30"
"width","5","8.92"
"widths","6","6.45"
"wield","5","6.48"
"wife","4","10.56"
"wife's","6","7.90"
"wig","3","6.87"
"wiggle","6","6.93"
"wiggled","7","6.10"
"wiggling","8","6.25"
"Wilbur","6","6.67"
"wild","4","10.08"
"wildcat","7","7.64"
"wilder","6","6.87"
"wilderness","10","8.22"
"wildest","7","6.68"
"wildfire","8","6.68"
"wildlife","8","8.43"
"wildly","6","7.87"
"wiles","5","6.41"
"Wilhelm","7","7.24"
"will","4","14.35"
"willful","7","6.38"
"willfully","9","6.17"
"William","7","10.61"
"Willie","6","8.23"
"Williamsburg","12","6.23"
"willing","7","10.93"
"willingly","9","7.36"
"willingness","11","8.26"
"Willis","6","7.99"
"willow","6","8.25"
"wills","5","7.53"
"willy","5","7.87"
"Wilson","6","9.65"
"Wilson's","8","6.43"
"wilt","4","6.93"
"win","3","11.08"
"Winchester","10","7.66"
"wind","4","10.07"
"winded","6","6.08"
"winding","7","7.26"
"window","6","10.91"
"windows","7","12.34"
"winds","5","8.77"
"windshield","10","7.23"
"Windsor","7","7.50"
"windy","5","7.07"
"wine","4","9.48"
"wines","5","7.23"
"wing","4","9.63"
"winged","6","6.51"
"winger","6","6.32"
"wingman","7","6.32"
"wings","5","9.10"
"wink","4","7.31"
"winner","6","9.38"
"winners","7","8.89"
"winning","7","9.70"
"winnings","8","6.40"
"Winnipeg","8","8.08"
"wins","4","9.36"
"Winston","7","8.36"
"winter","6","10.08"
"winters","7","7.29"
"wipe","4","8.36"
"wiped","5","8.04"
"wiping","6","7.24"
"wire","4","9.72"
"wired","5","8.32"
"wireless","8","8.78"
"wires","5","8.64"
"wiring","6","8.20"
"Wisconsin","9","9.02"
"wisdom","6","9.44"
"wise","4","9.51"
"wisely","6","7.20"
"wiser","5","7.00"
"wish","4","11.22"
"wished","6","8.32"
"wishes","6","9.58"
"wishful","7","7.31"
"wishing","7","8.57"
"wisp","4","6.99"
"wisps","5","6.42"
"wit","3","8.33"
"witch","5","9.00"
"witchcraft","10","6.97"
"witches","7","8.26"
"with","4","14.97"
"withdraw","8","8.59"
"withdrawal","10","7.86"
"withdrawing","11","6.78"
"withdrawn","9","7.69"
"withdrew","8","7.28"
"wither","6","6.11"
"withering","9","6.38"
"withheld","8","7.10"
"withhold","8","6.75"
"withholding","11","6.84"
"within","6","11.70"
"without","7","12.45"
"withstand","9","7.21"
"witness","7","9.02"
"witnessed","9","7.88"
"witnesses","9","8.60"
"witnessing","10","6.64"
"wits","4","6.95"
"witty","5","7.79"
"wives","5","8.13"
"wizard","6","9.42"
"wizardry","8","6.56"
"wobble","6","6.31"
"woe","3","6.66"
"woke","4","8.08"
"wolf","4","9.98"
"Wolfgang","8","7.93"
"wolves","6","9.29"
"woman","5","11.10"
"woman's","7","8.62"
"womb","4","7.82"
"wombat","6","8.06"
"women","5","11.62"
"women's","7","9.40"
"wanderers","9","6.41"
"wandering","9","8.09"
"wanders","7","6.47"
"wanderlust","10","7.83"
"wanker","6","6.51"
"wanna","5","9.24"
"want","4","13.14"
"wanted","6","11.43"
"wanting","7","9.47"
"wanton","6","6.24"
"wants","5","11.02"
"war","3","11.60"
"ward","4","10.10"
"warden","6","6.53"
"wardrobe","8","6.72"
"wards","5","6.76"
"ware","4","7.57"
"warehouse","9","8.41"
"warehouses","10","6.48"
"warehousing","11","7.09"
"wares","5","7.05"
"warfare","7","8.40"
"warhead","7","6.39"
"warlock","7","7.03"
"warlord","7","8.28"
"warm","4","9.95"
"warmed","6","7.04"
"warmer","6","7.49"
"warming","7","7.97"
"warmly","6","6.55"
"warms","5","6.42"
"warmth","6","7.82"
"warn","4","8.35"
"warned","6","9.92"
"warning","7","10.00"
"warnings","8","8.26"
"warns","5","7.39"
"warp","4","10.82"
"warped","6","8.13"
"warping","7","6.64"
"warrant","7","8.78"
"warranted","9","7.22"
"warrants","8","7.61"
"warranty","8","9.43"
"warren","6","9.31"
"warring","7","6.51"
"warrior","7","9.30"
"warriors","8","9.11"
"wars","4","10.11"
"Warsaw","6","7.35"
"warship","7","6.22"
"warships","8","6.48"
"wartime","7","6.78"
"warts","5","6.08"
"wary","4","7.54"
"was","3","14.56"
"wash","4","9.06"
"washed","6","8.07"
"washer","6","6.92"
"washes","6","6.42"
"washing","7","8.11"
"Washington","10","10.98"
"Washington's","12","6.76"
"wasn't","6","11.23"
"wasp","4","6.67"
"waste","5","10.21"
"wasted","6","8.77"
"wasteful","8","6.97"
"wasteland","9","6.67"
"wastes","6","7.85"
"wasting","7","8.85"
"watch","5","10.95"
"watchdog","8","6.88"
"watched","7","9.72"
"watchers","8","7.05"
"watches","7","8.01"
"watching","8","10.31"
"watchman","8","6.41"
"watchtower","10","6.61"
"water","5","11.57"
"watered","7","6.71"
"waterfall","9","6.71"
"waterfront","10","6.22"
"watering","8","6.64"
"Waterloo","8","8.35"
"wave","4","9.86"
"waved","5","7.04"
"waterproof","10","6.77"
"waters","6","8.82"
"watershed","9","6.30"
"watery","6","6.19"
"Watson","6","8.67"
"watt","4","8.14"
"wattage","7","6.08"
"wavelength","10","7.24"
"wavelengths","11","6.54"
"waves","5","9.22"
"waving","6","7.63"
"wavy","4","6.49"
"wax","3","8.59"
"waxed","5","6.28"
"waxing","6","6.17"
"way","3","13.10"
"Wayne","5","9.55"
"ways","4","10.90"
"wayside","7","6.05"
"we","2","14.03"
"weak","4","9.75"
"weaken","6","7.11"
"weakened","8","7.26"
"weakening","9","6.60"
"weakens","7","6.00"
"weaker","6","7.93"
"weakest","7","6.89"
"weakly","6","6.38"
"weakness","8","8.59"
"weaknesses","10","7.83"
"wealth","6","9.39"
"wealthy","7","8.49"
"wean","4","6.62"
"weaned","6","6.61"
"weaning","7","6.60"
"weapon","6","9.89"
"weaponry","8","8.07"
"weapons","7","10.26"
"wear","4","10.35"
"wearing","7","9.85"
"wears","5","8.19"
"weary","5","7.04"
"weasel","6","7.33"
"weather","7","9.97"
"weave","5","7.03"
"weaver","6","7.95"
"weaving","7","6.90"
"web","3","11.85"
"Webster","7","7.97"
"Webster's","9","7.07"
"wed","3","9.62"
"we'd","4","9.45"
"wedding","7","9.44"
"weddings","8","7.39"
"wedge","5","7.65"
"Wednesday","9","9.51"
"Wednesdays","10","6.62"
"Wednesday's","11","6.31"
"wee","3","7.94"
"weed","4","8.01"
"weeds","5","7.01"
"week","4","11.60"
"weekday","7","6.82"
"weekend","7","10.09"
"weekends","8","8.54"
"weekly","6","9.84"
"weeks","5","11.15"
"week's","6","8.32"
"weep","4","6.72"
"weeping","7","6.40"
"weigh","5","8.33"
"weighed","7","7.44"
"weighing","8","7.17"
"weighs","6","7.62"
"weight","6","10.43"
"weighted","8","7.43"
"weighting","9","6.15"
"weights","7","8.12"
"weir","4","6.16"
"weird","5","9.69"
"weirdo","6","6.02"
"welcome","7","10.92"
"welcomed","8","8.50"
"welcomes","8","7.15"
"welcoming","9","6.87"
"weld","4","7.11"
"welded","6","6.47"
"welding","7","6.89"
"welfare","7","9.93"
"well","4","13.22"
"we'll","5","10.40"
"wells","5","8.52"
"Welsh","5","8.10"
"welt","4","6.46"
"went","4","11.66"
"wept","4","6.01"
"were","4","13.41"
"we're","5","11.07"
"weren't","7","9.93"
"werewolf","8","8.06"
"Wesley","6","8.33"
"Wesleyan","8","6.23"
"west","4","11.05"
"western","7","10.56"
"Westchester","11","6.73"
"westerners","10","6.75"
"Westinghouse","12","6.06"
"Westminster","11","7.18"
"west's","6","6.01"
"wet","3","9.71"
"wetlands","8","6.74"
"wetness","7","6.65"
"wetting","7","6.34"
"we've","5","10.41"
"whack","5","7.48"
"whacked","7","6.12"
"whale","5","7.73"
"whalebone","9","6.20"
"whaling","7","6.80"
"wham","4","6.58"
"wharf","5","6.20"
"what","4","14.10"
"whatever","8","11.30"
"whatnot","7","6.87"
"what's","6","11.19"
"whatsoever","10","9.15"
"wheat","5","8.32"
"wheel","5","9.87"
"wheelchair","10","7.08"
"wheeled","7","6.16"
"wheeling","8","6.47"
"wheels","6","9.37"
"whelp","5","7.95"
"when","4","13.76"
"whence","6","6.62"
"whenever","8","10.04"
"where","5","13.03"
"whereabouts","11","7.14"
"whereas","7","9.35"
"whereby","7","7.68"
"vice","4","9.67"
"vices","5","6.18"
"vicinity","8","7.51"
"vicious","7","8.18"
"Vicky","5","7.05"
"victim","6","9.36"
"victimization","13","6.09"
"victimized","10","6.40"
"victims","7","9.38"
"victim's","8","6.71"
"victor","6","9.10"
"Victoria","8","8.95"
"Victorian","9","7.51"
"Victoria's","10","6.02"
"victories","9","7.22"
"victorious","10","6.96"
"victory","7","9.33"
"video","5","11.61"
"videotape","9","7.67"
"vie","3","7.22"
"Vienna","6","8.32"
"Vietnam","7","9.28"
"view","4","11.23"
"viewed","6","8.89"
"Vietnamese","10","8.53"
"viewer","6","9.17"
"viewers","7","8.83"
"viewing","7","9.16"
"viewpoint","9","8.50"
"viewpoints","10","7.64"
"views","5","10.50"
"vigil","5","6.46"
"vigilance","9","6.06"
"vigilant","8","6.10"
"vigilante","9","6.52"
"vigor","5","6.57"
"vigorous","8","7.08"
"vine","4","7.12"
"vinegar","7","7.57"
"vines","5","7.63"
"vineyard","8","6.83"
"vigorously","10","7.13"
"Viking","6","7.91"
"Vikings","7","7.29"
"vile","4","7.91"
"villa","5","7.49"
"village","7","9.49"
"villagers","9","6.95"
"villages","8","8.10"
"villain","7","7.84"
"villains","8","6.94"
"Vince","5","8.48"
"Vincent","7","8.60"
"vindictive","10","6.06"
"vintage","7","8.37"
"vinyl","5","8.88"
"viola","5","7.18"
"violate","7","8.54"
"violated","8","8.40"
"violates","8","7.96"
"violating","9","8.14"
"violation","9","9.34"
"violations","10","8.60"
"violence","8","9.90"
"violent","7","9.42"
"violently","9","7.55"
"violet","6","7.12"
"violin","6","7.86"
"viper","5","8.10"
"Virgil","6","6.55"
"virgin","6","8.97"
"Virginia","8","9.92"
"virginity","9","7.09"
"Virgo","5","6.30"
"virtual","7","10.37"
"virtually","9","9.61"
"virtue","6","8.42"
"virtues","7","7.32"
"virtuous","8","6.40"
"virtuoso","8","6.06"
"virulent","8","6.06"
"virus","5","10.10"
"visa","4","9.85"
"visage","6","6.69"
"viscosity","9","6.35"
"vise","4","8.44"
"visibility","10","7.66"
"visible","7","9.44"
"visibly","7","6.70"
"vision","6","9.92"
"vitality","8","6.55"
"visionary","9","6.93"
"visions","7","8.60"
"visit","5","10.69"
"visitation","10","7.00"
"visited","7","9.01"
"visiting","8","9.00"
"visitor","7","7.88"
"visitors","8","8.38"
"visits","6","8.32"
"visor","5","6.30"
"vista","5","8.12"
"visual","6","10.36"
"visualization","13","8.25"
"visualize","9","7.25"
"visually","8","7.55"
"vital","5","9.07"
"vitamin","7","8.24"
"vitamins","8","7.85"
"vitro","5","7.21"
"viva","4","7.21"
"Vivian","6","7.27"
"vivid","5","7.57"
"vividly","7","6.32"
"vixen","5","6.02"
"vocal","5","8.63"
"vocabulary","10","7.94"
"vocalist","8","7.06"
"vocals","6","8.44"
"vocation","8","6.16"
"vocational","10","6.72"
"vodka","5","6.80"
"vogue","5","7.06"
"voice","5","11.31"
"voiced","6","7.40"
"voices","6","9.26"
"void","4","10.04"
"volatile","8","7.25"
"volatility","10","6.51"
"volcanic","8","8.80"
"volcano","7","8.02"
"volition","8","6.12"
"volley","6","6.31"
"volleyball","10","7.75"
"volt","4","8.44"
"voltage","7","9.12"
"voltages","8","7.02"
"volts","5","8.01"
"volume","6","10.60"
"volumes","7","8.97"
"voluntarily","11","7.78"
"voluntary","9","8.31"
"volunteer","9","9.03"
"volunteered","11","7.31"
"volunteering","12","6.68"
"volunteers","10","8.65"
"vomit","5","7.18"
"vomiting","8","7.19"
"voodoo","6","8.11"
"vortex","6","8.37"
"vote","4","10.97"
"voted","5","9.32"
"voter","5","7.61"
"voters","6","8.78"
"votes","5","9.95"
"voting","6","9.39"
"voucher","7","7.02"
"vouchers","8","7.11"
"vow","3","6.77"
"vowed","5","6.66"
"vowel","5","6.83"
"vowels","6","6.88"
"vows","4","6.82"
"voyage","6","7.73"
"voyager","7","9.14"
"voyages","7","6.16"
"Vulcan","6","8.27"
"vulgar","6","7.00"
"vulnerability","13","7.02"
"vulnerable","10","8.30"
"wack","4","6.21"
"wacky","5","7.60"
"Waco","4","7.93"
"wad","3","7.98"
"wade","4","8.56"
"wads","4","7.07"
"wafer","5","6.68"
"waffle","6","8.37"
"wage","4","9.22"
"waged","5","6.55"
"wager","5","7.17"
"wages","5","8.76"
"waging","6","6.08"
"Wagner","6","8.29"
"wagon","5","8.21"
"wagons","6","6.42"
"wail","4","6.08"
"wailing","7","6.32"
"waist","5","8.57"
"waistband","9","6.01"
"wait","4","11.03"
"waited","6","8.76"
"waiter","6","7.11"
"waiting","7","10.55"
"waitress","8","6.95"
"waits","5","7.91"
"waive","5","6.54"
"waived","6","6.49"
"waiver","6","7.22"
"wake","4","9.40"
"wakes","5","7.20"
"waking","6","7.89"
"Wales","5","8.41"
"walk","4","10.41"
"walked","6","9.61"
"walker","6","9.11"
"walkers","7","6.94"
"walking","7","9.83"
"walks","5","8.82"
"wall","4","11.43"
"Wallace","7","8.74"
"wallet","6","7.74"
"wallpaper","9","6.90"
"walls","5","9.40"
"Wally","5","7.51"
"walnut","6","8.14"
"walrus","6","6.27"
"Walt","4","8.44"
"Walter","6","9.20"
"Walters","7","7.00"
"Walton","6","7.58"
"waltz","5","7.07"
"wand","4","8.60"
"wander","6","7.83"
"wandered","8","7.31"
"wanderer","8","6.58"
"upwards","7","7.75"
"uranium","7","7.35"
"Uranus","6","6.94"
"urban","5","9.07"
"urethra","7","6.04"
"urge","4","9.05"
"urged","5","7.81"
"urgency","7","6.77"
"urgent","6","8.25"
"urgently","8","7.35"
"urges","5","7.41"
"urging","6","7.46"
"urinary","7","6.43"
"urinate","7","6.07"
"urine","5","8.14"
"Uruguay","7","6.69"
"us","2","13.09"
"usable","6","8.52"
"usage","5","9.65"
"use","3","13.43"
"useable","7","7.18"
"used","4","12.81"
"useful","6","10.92"
"usefulness","10","7.64"
"useless","7","9.51"
"user","4","11.68"
"users","5","11.59"
"uses","4","11.09"
"usher","5","6.55"
"using","5","12.73"
"usual","5","10.27"
"usually","7","11.57"
"Utah","4","9.10"
"utensils","8","6.02"
"uterus","6","6.74"
"utilities","9","9.88"
"utility","7","10.07"
"utilization","11","7.79"
"utilize","7","8.27"
"utilized","8","7.70"
"utilizes","8","7.11"
"utilizing","9","8.15"
"utmost","6","7.47"
"utopia","6","7.24"
"utopian","7","6.57"
"utter","5","8.29"
"uttered","7","6.77"
"utterly","7","8.59"
"vacancies","9","6.19"
"vacant","6","7.21"
"vacation","8","9.16"
"vacations","9","7.07"
"vaccinate","9","6.11"
"vaccination","11","7.75"
"vaccine","7","8.70"
"vacuum","6","8.74"
"vagina","6","8.17"
"vaginal","7","7.33"
"vague","5","8.76"
"vaguely","7","7.97"
"Vail","4","6.77"
"vain","4","7.89"
